Year,State,State ANSI,County,County ANSI,Commodity,Value
2020,INDIANA,18,OWEN,119,CORN,"20,700"
2020,INDIANA,18,OWEN,119,CORN,"3,488,000"
2020,INDIANA,18,OWEN,119,CORN,168.5
2020,INDIANA,18,PARKE,121,CORN,"57,800"
2020,INDIANA,18,PARKE,121,CORN,"56,100"
2020,INDIANA,18,PARKE,121,CORN,"11,035,000"
2020,INDIANA,18,PARKE,121,CORN,196.7
2020,INDIANA,18,PUTNAM,133,CORN,"63,500"
2020,INDIANA,18,PUTNAM,133,CORN,"61,700"
2020,INDIANA,18,PUTNAM,133,CORN,"11,939,000"
2020,INDIANA,18,PUTNAM,133,CORN,193.5
2020,INDIANA,18,TIPPECANOE,157,CORN,"93,600"
2020,INDIANA,18,TIPPECANOE,157,CORN,"91,200"
2020,INDIANA,18,TIPPECANOE,157,CORN,"18,888,000"
2020,INDIANA,18,TIPPECANOE,157,CORN,207.1
2020,INDIANA,18,VERMILLION,165,CORN,"43,900"
2020,INDIANA,18,VERMILLION,165,CORN,"42,800"
2020,INDIANA,18,VERMILLION,165,CORN,"8,081,000"
2020,INDIANA,18,VERMILLION,165,CORN,188.8
2020,INDIANA,18,VIGO,167,CORN,"47,700"
2020,INDIANA,18,VIGO,167,CORN,"46,500"
2020,INDIANA,18,VIGO,167,CORN,"8,217,000"
2020,INDIANA,18,VIGO,167,CORN,176.7
2020,INDIANA,18,WARREN,171,CORN,"79,600"
2020,INDIANA,18,WARREN,171,CORN,"77,400"
2020,INDIANA,18,WARREN,171,CORN,"15,991,000"
2020,INDIANA,18,WARREN,171,CORN,206.6
2020,INDIANA,18,OTHER COUNTIES,,CORN,"20,400"
2020,INDIANA,18,OTHER COUNTIES,,CORN,"19,850"
2020,INDIANA,18,OTHER COUNTIES,,CORN,"3,176,000"
2020,INDIANA,18,OTHER COUNTIES,,CORN,160
